Model,Trainable,Training speed,Optimizable,Time consumming,Time consumming optimized,Crack Precision,Good Precision,Tuning,Comment
cflow,yes,slow,no,0.55,,13/15,1220/1220,,
dfkde,yes,fast,no,0.08,,11/15,1202/1220,,
patchcore,yes,slow,no,0.9,,12/15,1209/1220,,
dfm,yes,fast,yes,0.2,0.1,13/15,1088/1220,,
padim,yes,fast,yes,0.12,0.09,15/15,1153/1220,,
reverse_distillation,yes,medium,yes,0.3,0.2,15/15,1188/1220,,
stfpm,yes,medium,yes,0.1,0.08,15/15,1211/1220,,
cfa,yes,fast,yes,0.5,0.5,13/15,1199/1220,,
draem,no,,,,,,,,
fastflow,no,,,,,,,,
